slug,nome_pt,nome_en
doenca_cardiovascular_grave,Doença cardiovascular grave,Severe cardiovascular disease
doenca_cardiovascular_recente,Doença cardiovascular recente,Recent cardiovascular disease
doenca_de_leber,Doença de Leber (atrofia ótica hereditária),Leber's disease (hereditary optic atrophy)
doenca_esofagica,Doença esofágica,Oesophageal disease
doenca_gastrointestinal,Doença gastrointestinal,Gastrointestinal disease
doenca_hepatica,Doença hepática (insuficiência hepática),Hepatic disease (hepatic impairment)
doenca_hepatica_ativa,Doença hepática ativa,Active liver disease
doenca_hepatica_grave,Insuficiência hepática moderada a grave,Moderate to severe hepatic impairment
doenca_no_sinusal,Doença do nó sinusal / distúrbios de condução,Sick sinus syndrome / conduction disorders
doenca_parkinson,Doença de Parkinson,Parkinson's disease
doenca_psiquiatrica,"Doença psiquiátrica (depressão, ideação suicida)","Psychiatric disease (depression, suicidal ideation)"
doenca_pulmonar,Doença pulmonar,Pulmonary disease
doenca_pulmonar_intersticial,Doença pulmonar intersticial,Interstitial lung disease
doenca_renal_cronica,Doença renal crónica,Chronic kidney disease
doenca_renal_grave,Doença renal grave,Severe renal disease
doenca_retina,Doença da retina (maculopatia),Retinal disease (maculopathy)
doenca_snc,Doença do SNC ativa,Active CNS disease
encefalopatia_hepatica,Encefalopatia hepática,Hepatic encephalopathy
enfarte_agudo_miocardio,Enfarte agudo do miocárdio,Acute myocardial infarction
epilepsia,Epilepsia / convulsões,Epilepsy / seizures
erupcao_cutanea_grave,Erupção cutânea grave (SJS/TEN),Severe skin rash (SJS/TEN)
estenose_aortica,Estenose aórtica / obstrução da via de saída do ventrículo esquerdo,Aortic stenosis / left ventricular outflow obstruction
estenose_arteria_renal,Estenose bilateral das artérias renais,Bilateral renal artery stenosis
estenose_hipertrofica,Estenose pilórica hipertrófica infantil,Infantile hypertrophic pyloric stenosis
fatores_rabdomiolise,Fatores predisponentes de rabdomiólise,Predisposing factors for rhabdomyolysis
febre,Febre / calor externo,Fever / external heat
feocromocitoma,Feocromocitoma,Phaeochromocytoma
fotossensibilidade,Fotossensibilidade,Photosensitivity
glaucoma,Glaucoma,Glaucoma
glaucoma_angulo_fechado,Glaucoma de ângulo fechado,Angle-closure glaucoma
hemocromatose,Hemocromatose / sobrecarga de ferro,Haemochromatosis / iron overload
hemorragia_ativa,Hemorragia ativa clinicamente significativa,Clinically significant active bleeding
hemorragia_pulmonar,Hemorragia pulmonar (recém-nascido),Pulmonary haemorrhage (newborn)
hemorragia_significativa,Hemorragia clinicamente significativa,Clinically significant bleeding
hiperbilirrubinemia_neonatal,Hiperbilirrubinemia neonatal,Neonatal hyperbilirubinaemia
hipercalcemia,Hipercalcémia,Hypercalcaemia
hipercaliemia,Hipercaliemia,Hyperkalaemia
hipertensao,Hipertensão,Hypertension
hipertensao_arterial,Hipertensão arterial,Hypertension
hipertensao_arterial_grave,Hipertensão arterial grave,Severe hypertension
hipertensao_grave,Hipertensão grave,Severe hypertension
hipertensao_nao_controlada,Hipertensão não controlada,Uncontrolled hypertension
hipertensao_supina,Hipertensão em decúbito,Supine hypertension
hipertiroidismo,Hipertiroidismo,Hyperthyroidism
hipertrigliceridemia,Hipertrigliceridemia grave,Severe hypertriglyceridaemia
hipertrofia_prostatica,Hipertrofia prostática benigna,Benign prostatic hyperplasia
hiperuricemia_gota,Hiperuricemia / gota,Hyperuricaemia / gout
hipoacusia_doenca_vestibular,Hipoacusia / doença vestibular prévia,Prior hearing loss / vestibular disease
hipocalcemia,Hipocalcémia,Hypocalcaemia
hipocaliemia,Hipocaliemia,Hypokalaemia
hipomagnesemia,Hipomagnesemia,Hypomagnesaemia
hiponatremia,Hiponatremia / baixa de sódio,Hyponatraemia / low sodium
hipotensao_nao_controlada,Hipotensão não controlada,Uncontrolled hypotension
hipotensao_ortostatica_prev,Hipotensão ortostática prévia,History of orthostatic hypotension
hipoxia_tecidual,Condições com hipóxia tecidual,Conditions causing tissue hypoxia
historia_doenca_hepatica,História de doença hepática,History of liver disease
historia_ictericia_clavulanato,Icterícia / disfunção hepática prévia (com clavulanato),Prior jaundice / hepatic dysfunction (with clavulanate)
historico_tromboembolismo_venoso,Histórico de tromboembolismo venoso (TEV),History of venous thromboembolism (VTE)
hla_b1502,Alelo HLA-B*1502 (populações asiáticas),HLA-B*1502 carrier (Asian populations)
ileo_paralitico,Íleo paralítico,Paralytic ileus
infeccao_ativa,Infeção ativa,Active infection
infeccao_fungica_sistemica,Infeção fúngica sistémica,Systemic fungal infection
insuf_respiratoria,Insuficiência respiratória grave,Severe respiratory impairment
insuficiencia_adrenal,Insuficiência suprarrenal não corrigida,Uncorrected adrenal insufficiency
insuficiencia_cardiaca,Insuficiência cardíaca,Heart failure
insuficiencia_hepatica,Insuficiência hepática,Hepatic insufficiency
insuficiencia_hepatica_grave,Insuficiência hepática grave (Child-Pugh C),Severe hepatic impairment (Child-Pugh C)
insuficiencia_renal,Insuficiência renal (incluindo disfunção leve),Renal impairment (including mild dysfunction)
insuficiencia_renal_grave,Insuficiência renal grave,Severe renal impairment
litase_renal,Litíase renal,Renal lithiasis
melas_midd,"Doenças mitocondriais (MELAS, MIDD)","Mitochondrial diseases (MELAS, MIDD)"
metemoglobinemia,Metemoglobinemia,Methaemoglobinaemia
miastenia_gravis,Miastenia gravis,Myasthenia gravis
mononucleose_infecciosa,Mononucleose infecciosa,Infectious mononucleosis
nefrolitiase,Nefrolitíase (litíase oxálica),Nephrolithiasis (oxalate stones)
neurite_optica,Neurite ótica (prévia ou ativa),Optic neuritis (prior or active)
neuropatia_periferica,Neuropatia periférica,Peripheral neuropathy
neutropenia,Neutropenia / leucopenia,Neutropenia / leucopenia
osteoporose,Osteoporose / risco de fratura,Osteoporosis / fracture risk
pancreatite,Pancreatite (associada a lípidos),Pancreatitis (lipid-associated)
porfiria,Porfiria,Porphyria
porfiria_hepatica,Porfiria hepática,Hepatic porphyria
prolongamento_qt,Prolongamento do intervalo QT,QT interval prolongation
retencao_urinaria,Retenção urinária / hiperplasia prostática,Urinary retention / prostatic hyperplasia
retinite_pigmentar,Retinite pigmentar,Retinitis pigmentosa
retinopatia,Doença ocular / retinopatia,Eye disease / retinopathy
sarcoidose,Sarcoidose,Sarcoidosis
sindrome_hipersensibilidade,Síndrome de hipersensibilidade (história),Hypersensitivity syndrome (history)
sindrome_malabsorcao,Síndrome de má absorção crónica,Chronic malabsorption syndrome
sindrome_qt_congenito,Síndrome QT congénito ou fármacos que prolongam o QT,Congenital QT syndrome or QT-prolonging drugs
tendinopatia,Tendinopatia / rutura tendinosa,Tendinopathy / tendon rupture
tireotoxicose,Tireotoxicose não tratada,Untreated thyrotoxicosis
trombocitopenia_hir,Trombocitopenia induzida por heparina (TIH),Heparin-induced thrombocytopenia (HIT)
trombose_ativa,Trombose venosa/arterial ativa,Active venous/arterial thrombosis
tuberculose,Tuberculose (ativa ou latente),Tuberculosis (active or latent)
ulcera_peptica,História de úlcera péptica / uso de AINE,History of peptic ulcer / NSAID use
ulcera_peptica_ativa,Úlcera péptica ativa,Active peptic ulceration
