slug,farmaco_a_slug,farmaco_b_slug,severidade,resumo_pt,resumo_en,resumo_pro_pt,resumo_pro_en,explicacao_pt,explicacao_en,mecanismo_pt,mecanismo_en,conselho_pt,conselho_en,monitorizacao_pt,monitorizacao_en,red_flags_pt,red_flags_en,fonte_pt,fonte_en,estado,data_revisao
amiodarona_levofloxacina,amiodarona,levofloxacina,moderate,A associação de Levofloxacina com Amiodarona aumenta o risco de prolongamento do intervalo QT e de arritmias ventriculares (ex.: torsades de pointes).,Combining Levofloxacin with Amiodarone increases the risk of QT prolongation and ventricular arrhythmias (e.g. torsades de pointes).,Levofloxacina + amiodarona: prolongamento aditivo do QT com risco de torsades de pointes. Evitar a associação ou vigiar ECG.,Levofloxacin + amiodarone: additive QT prolongation with risk of torsades de pointes. Avoid the combination or monitor the ECG.,"A levofloxacina prolonga o intervalo QT (bloqueio do hERG) e a amiodarona também; o efeito é aditivo e o risco de torsades de pointes aumenta, sobretudo em mulheres, idosos, com hipocaliemia, bradicardia ou cardiopatia. Em doentes em amiodarona crónica, preferir um antibiótico sem efeito no QT (ex.: beta-lactâmicos) quando a cobertura for adequada. Se a associação for inevitável, vigiar ECG e eletrólitos e corrigir hipocaliemia/hipomagnesemia.","Levofloxacin prolongs the QT interval (hERG blockade) and amiodarone does too; the effect is additive and the torsades de pointes risk increases, especially in women, the elderly, and with hypokalaemia, bradycardia or heart disease. In patients on chronic amiodarone, prefer an antibiotic without QT effects (e.g. beta-lactams) when coverage is adequate. If the combination is unavoidable, monitor the ECG and electrolytes and correct hypokalaemia/hypomagnesaemia.",A Levofloxacina prolonga o intervalo QT no ECG e a Amiodarona é um antiarrítmico da classe III com efeito aditivo; a soma aumenta o risco de arritmias ventriculares graves.,Levofloxacin prolongs the ECG QT interval and Amiodarone is a class III antiarrhythmic with an additive effect; together they raise the risk of serious ventricular arrhythmias.,"Evitar a associação em doentes com fatores de risco (hipocaliemia, QT longo, bradicardia); se inevitável, monitorizar o ECG.","Avoid the combination in patients at risk (hypokalemia, long QT, bradycardia); if unavoidable, monitor the ECG.","Monitorizar o ECG (intervalo QT), os eletrólitos (potássio/magnésio) e sintomas como palpitações ou síncope.","Monitor the ECG (QT interval), electrolytes (potassium/magnesium) and symptoms such as palpitations or syncope.","Síncope, palpitações, QT muito prolongado ou arritmia exigem suspensão e avaliação urgente.","Syncope, palpitations, a very prolonged QT or arrhythmia require discontinuation and urgent evaluation.","DailyMed/FDA (NIH/NLM) — rótulo aprovado Levofloxacina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5c6c117c-9d91-48f4-9aaa-ee70b99218c2 ; rótulo aprovado Amiodarona: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d — com referência adicional: Prontuário Terapêutico do INFARMED (11.ª ed., 2012)","DailyMed/FDA (NIH/NLM) — approved Levofloxacin label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5c6c117c-9d91-48f4-9aaa-ee70b99218c2 ; approved Amiodarone label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d — with additional reference: Prontuário Terapêutico do INFARMED, INFARMED (11th ed., 2012)",publicado,2026-08-04
amiodarona_mefloquina,amiodarona,mefloquina,moderate,Risco acrescido de prolongamento do QT e de arritmias ventriculares.,Increased risk of QT prolongation and ventricular arrhythmias.,Mefloquina + amiodarona: prolongamento aditivo do QT com risco de arritmias ventriculares. Evitar a associação.,Mefloquine + amiodarone: additive QT prolongation with risk of ventricular arrhythmias. Avoid the combination.,"A mefloquina prolonga o intervalo QT e associa-se a arritmias ventriculares e bloqueios de condução; com a amiodarona o efeito é aditivo. Além disso, ambos têm efeitos sobre a condução AV. Em doentes em amiodarona crónica que necessitem de profilaxia ou tratamento da malária, preferir atovaquona+proguanil ou doxiciclina. Se a associação for inevitável, vigiar ECG e eletrólitos e monitorizar sinais de proarritmia.","Mefloquine prolongs the QT interval and is associated with ventricular arrhythmias and conduction blocks; with amiodarone the effect is additive. Both also affect AV conduction. In patients on chronic amiodarone needing malaria prophylaxis or treatment, prefer atovaquone+proguanil or doxycycline. If the combination is unavoidable, monitor the ECG and electrolytes and watch for proarrhythmia signs.",Prolongamento aditivo da repolarização cardíaca.,Additive prolongation of cardiac repolarisation.,"Evitar; se inevitável, monitorizar o ECG.","Avoid; if unavoidable, monitor the ECG.",ECG (QTc) e eletrólitos.,ECG (QTc) and electrolytes.,"Palpitações, síncope.","Palpitations, syncope.",DailyMed/FDA (NIH/NLM) — rótulo aprovado Mefloquina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=09716a24-d7da-42b2-af29-c03a1b6670bd ; rótulo aprovado Amiodarona: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d,DailyMed/FDA (NIH/NLM) — approved Mefloquine label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=09716a24-d7da-42b2-af29-c03a1b6670bd ; approved Amiodarone label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d,publicado,2026-08-03
amiodarona_pseudoefedrina,amiodarona,pseudoefedrina,moderate,Descongestionante simpaticomimético + antiarrítmico: risco de arritmias e efeito pressor.,Sympathomimetic decongestant + antiarrhythmic: risk of arrhythmias and pressor effect.,Pseudoefedrina + amiodarona: o efeito simpaticomimético da pseudoefedrina aumenta o risco de arritmias em doentes com amiodarona. Evitar ou usar com precaução.,Pseudoephedrine + amiodarone: the sympathomimetic effect of pseudoephedrine increases the arrhythmia risk in patients on amiodarone. Avoid or use with caution.,"A pseudoefedrina é um simpaticomimético que aumenta a frequência cardíaca e a automaticidade; em doentes tratados com amiodarona (que prolonga o QT e está associada a cardiopatia subjacente frequente), o risco de taquicardias e extrassistolia ventricular aumenta. Deve evitar-se a pseudoefedrina em doentes com arritmias conhecidas ou cardiopatia isquémica; se for usada, limitar a duração, vigiar sintomas (palpitações, dor torácica) e preferir alternativas não simpaticomiméticas (ex.: corticosteroides nasais, anti-histamínicos) para a congestão nasal.","Pseudoephedrine is a sympathomimetic that increases heart rate and automaticity; in patients treated with amiodarone (which prolongs QT and is frequently associated with underlying heart disease), the risk of tachycardias and ventricular extrasystoles increases. Pseudoephedrine should be avoided in patients with known arrhythmias or ischaemic heart disease; if used, limit the duration, watch for symptoms (palpitations, chest pain) and prefer non-sympathomimetic alternatives (e.g. nasal corticosteroids, antihistamines) for nasal congestion.","A pseudoefedrina (α-agonista) aumenta a tensão arterial e o trabalho cardíaco, com risco de arritmia em doentes predispostos.","Pseudoephedrine (α-agonist) raises blood pressure and cardiac work, risking arrhythmia in predisposed patients.","Evitar em doença cardiovascular; se usado, monitorizar TA e ritmo.","Avoid in cardiovascular disease; if used, monitor BP and rhythm.",Tensão arterial e eletrocardiograma.,Blood pressure and ECG.,"Hipertensão, taquicardia, arritmias.","Hypertension, tachycardia, arrhythmias.","DailyMed (FDA) — rótulo aprovado Pseudoefedrina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=78faa497-6743-b85b-e053-2a91aa0ae822 ; rótulo aprovado Amiodarona: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d — referência adicional: Prontuário Terapêutico do INFARMED (11.ª ed., 2012)","DailyMed (FDA) — approved Pseudoephedrine label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=78faa497-6743-b85b-e053-2a91aa0ae822 ; approved Amiodarone label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d — additional reference: Prontuário Terapêutico do INFARMED (11th ed., 2012)",publicado,
amiodarona_quinina,amiodarona,quinina,moderate,Risco elevado de prolongamento do QT e de torsades de pointes.,High risk of QT prolongation and torsades de pointes.,Quinina + amiodarona: prolongamento aditivo do QT e inibição do CYP3A4 pela quinina (níveis de amiodarona ↑). Evitar a associação.,Quinine + amiodarone: additive QT prolongation and CYP3A4 inhibition by quinine (amiodarone levels ↑). Avoid the combination.,"A quinina prolonga o intervalo QT e inibe o CYP3A4, a principal via de metabolização da amiodarona, podendo elevar os seus níveis; o efeito no QT é aditivo e o risco de torsades de pointes aumenta de forma marcada. Em doentes em amiodarona crónica, preferir outro antimalárico (atovaquona+proguanil, doxiciclina). Se a associação for inevitável, vigiar ECG e eletrólitos e reduzir a dose de amiodarona se necessário.","Quinine prolongs the QT interval and inhibits CYP3A4, the main pathway of amiodarone metabolism, potentially raising its levels; the QT effect is additive and the torsades de pointes risk increases markedly. In patients on chronic amiodarone, prefer another antimalarial (atovaquone+proguanil, doxycycline). If the combination is unavoidable, monitor the ECG and electrolytes and reduce the amiodarone dose if needed.",Efeito aditivo no bloqueio dos canais de potássio cardíacos.,Additive effect on cardiac potassium channel blockade.,"Evitar a associação; se inevitável, monitorização cardíaca rigorosa.","Avoid the association; if unavoidable, strict cardiac monitoring.",ECG (QTc) e eletrólitos.,ECG (QTc) and electrolytes.,"Síncope, convulsões, palpitações.","Syncope, seizures, palpitations.",DailyMed/FDA (NIH/NLM) — rótulo aprovado Quinina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1f32f05c-a215-40be-b951-e41a7b54a8a0 ; rótulo aprovado Amiodarona: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d,DailyMed/FDA (NIH/NLM) — approved Quinine label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1f32f05c-a215-40be-b951-e41a7b54a8a0 ; approved Amiodarone label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d,publicado,2026-08-03
amiodarona_rifabutina,amiodarona,rifabutina,moderate,A Rifabutina reduz os níveis de Amiodarona — risco de recidiva de arritmias.,Rifabutin lowers Amiodarone levels — risk of arrhythmia recurrence.,"Rifabutina + amiodarona: a rifabutina induz o CYP3A4 e reduz os níveis de amiodarona, podendo diminuir a eficácia antiarrítmica. Vigiar o efeito clínico.","Rifabutin + amiodarone: rifabutin induces CYP3A4 and lowers amiodarone levels, potentially reducing antiarrhythmic efficacy. Monitor the clinical effect.","A rifabutina é um indutor do CYP3A4 e reduz as concentrações plasmáticas da amiodarona (e do seu metabolito ativo), podendo comprometer o controlo da arritmia. A interação desenvolve-se ao longo de dias a semanas e persiste após a suspensão da rifabutina (semivida longa da amiodarona). Recomenda-se monitorizar o ritmo e a resposta clínica, considerar o ajuste da dose de amiodarona e vigiar o ECG durante e após o tratamento com rifabutina.","Rifabutin induces CYP3A4 and lowers amiodarone plasma concentrations (and its active metabolite), potentially compromising arrhythmia control. The interaction develops over days to weeks and persists after rifabutin discontinuation (long amiodarone half-life). Monitor the rhythm and clinical response, consider adjusting the amiodarone dose and monitor the ECG during and after rifabutin treatment.",Indução do CYP3A4.,CYP3A4 induction.,Vigiar o ritmo; considerar alternativa.,Monitor rhythm; consider an alternative.,ECG e ritmo.,ECG and rhythm.,"Palpitações, síncope.","Palpitations, syncope.",DailyMed/FDA (NIH/NLM) — rótulo aprovado Rifabutina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c2026b67-4755-4236-96b6-a6b5e7399707 ; rótulo aprovado Amiodarona: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d,DailyMed/FDA (NIH/NLM) — approved Rifabutin label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c2026b67-4755-4236-96b6-a6b5e7399707 ; approved Amiodarone label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d,publicado,2026-08-03
amiodarona_rifampicina,amiodarona,rifampicina,moderate,A Rifampicina reduz marcadamente os níveis de Amiodarona — risco de recidiva de arritmias.,Rifampin markedly lowers Amiodarone levels — risk of arrhythmia recurrence.,Rifampicina + amiodarona: a rifampicina induz fortemente o CYP3A4 e pode reduzir os níveis de amiodarona para níveis subterapêuticos. Evitar ou vigiar de perto.,Rifampicin + amiodarone: rifampicin strongly induces CYP3A4 and can reduce amiodarone levels to subtherapeutic. Avoid or monitor closely.,"A rifampicina é um indutor potente do CYP3A4 e da glicoproteína-P e pode reduzir as concentrações de amiodarona (e do seu metabolito ativo) em mais de 50%, com perda do controlo antiarrítmico. O efeito persiste semanas após a suspensão da rifampicina dada a semivida muito longa da amiodarona (até 60 dias). Recomenda-se evitar a associação quando possível; se inevitável, monitorizar o ritmo, considerar o ajuste (frequentemente aumento) da dose de amiodarona e vigiar o ECG.","Rifampicin is a potent inducer of CYP3A4 and P-glycoprotein and can reduce amiodarone (and active metabolite) concentrations by more than 50%, with loss of antiarrhythmic control. The effect persists for weeks after rifampicin discontinuation given the very long amiodarone half-life (up to 60 days). Avoid the combination when possible; if unavoidable, monitor the rhythm, consider adjusting (often increasing) the amiodarone dose and monitor the ECG.","Indução do CYP3A4, principal via de metabolização da Amiodarona.","CYP3A4 induction, the main Amiodarone metabolic pathway.","Evitar se possível; se inevitável, vigiar o ritmo e considerar alternativa.","Avoid if possible; if unavoidable, monitor rhythm and consider an alternative.","ECG/ritmo, sinais de recidiva arrítmica.","ECG/rhythm, signs of arrhythmia recurrence.","Palpitações, síncope, taquicardia.","Palpitations, syncope, tachycardia.",DailyMed/FDA (NIH/NLM) — rótulo aprovado Rifampicina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b389b1a3-672f-47e3-916c-4a9c044b211b ; rótulo aprovado Amiodarona: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d,DailyMed/FDA (NIH/NLM) — approved Rifampin label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b389b1a3-672f-47e3-916c-4a9c044b211b ; approved Amiodarone label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d,publicado,2026-08-03
amiodarona_voriconazol,amiodarona,voriconazol,moderate,Associação de Voriconazol e Amiodarona com risco de prolongamento do intervalo QT e arritmias ventriculares.,Voriconazole plus Amiodarone carries a risk of QT prolongation and ventricular arrhythmias.,Voriconazol + amiodarona: o voriconazol inibe o CYP3A4 e pode elevar os níveis de amiodarona; ambos prolongam o QT. Evitar a associação.,Voriconazole + amiodarone: voriconazole inhibits CYP3A4 and may raise amiodarone levels; both prolong the QT. Avoid the combination.,"O voriconazol é um inibidor moderado a potente do CYP3A4 e reduz a clearance da amiodarona, podendo aumentar as suas concentrações; ambos os fármacos prolongam o intervalo QT, pelo que o risco de torsades de pointes aumenta de forma aditiva. Deve evitar-se a associação em doentes com FA ou outras arritmias; se for inevitável (aspergilose invasiva em doente com amiodarona), reduzir a dose de amiodarona, vigiar ECG e eletrólitos e monitorizar efeitos adversos durante e após o tratamento antifúngico.","Voriconazole is a moderate-to-potent CYP3A4 inhibitor and reduces amiodarone clearance, potentially raising its concentrations; both drugs prolong the QT interval, so the torsades de pointes risk increases additively. The combination should be avoided in patients with AF or other arrhythmias; if unavoidable (invasive aspergillosis in a patient on amiodarone), reduce the amiodarone dose, monitor the ECG and electrolytes and watch for adverse effects during and after antifungal treatment.",Efeito aditivo sobre a repolarização cardíaca.,Additive effect on cardiac repolarization.,"Usar com precaução; monitorizar ECG (QT) e eletrólitos (K+, Mg2+).","Use with caution; monitor ECG (QT) and electrolytes (K+, Mg2+).","ECG (intervalo QT), eletrólitos, sinais de arritmia.","ECG (QT interval), electrolytes, signs of arrhythmia.","Síncope, palpitações, torsades de pointes.","Syncope, palpitations, torsades de pointes.",DailyMed/FDA (NIH/NLM) — rótulo aprovado Voriconazol: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f6a1a792-141b-42e8-8bd1-884e4408eb8a ; rótulo aprovado Amiodarona: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d,DailyMed/FDA (NIH/NLM) — approved Voriconazole label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f6a1a792-141b-42e8-8bd1-884e4408eb8a ; approved Amiodarone label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d,publicado,2026-08-04
amiodarona_warfarina,amiodarona,warfarina,moderate,"A Amiodarona potencia o efeito anticoagulante da Warfarina, aumentando o INR e o risco hemorrágico.","Amiodarone potentiates Warfarin's anticoagulant effect, raising INR and bleeding risk.","A amiodarona inibe o CYP2C9 (e o CYP2C19/CYP3A4) e pode mais do que duplicar o INR. Reduzir a dose de warfarina em 30–50% ao iniciar, monitorizar o INR semanalmente e ajustar após suspender a amiodarona (efeito prolongado, semivida de semanas).","Amiodarone inhibits CYP2C9 (and CYP2C19/CYP3A4) and can more than double the INR. Reduce warfarin by 30–50% when starting, monitor INR weekly, and re-adjust after amiodarone is stopped (prolonged effect, half-life of weeks).","A amiodarona é um inibidor potente do CYP2C9, a isoenzima que metaboliza o S-warfarin (o enantiómero mais ativo), além de inibir o CYP2C19 e o CYP3A4. O resultado é a subida acentuada do INR, que pode ocorrer logo nos primeiros dias mas continua a evoluir durante semanas porque a amiodarona tem uma semivida muito longa (20–100 dias) e acumula nos tecidos. O rótulo aprovado recomenda reduzir a dose de warfarina em 30–50% quando se inicia a amiodarona e monitorizar o INR de perto; o efeito persiste durante semanas ou meses após suspender a amiodarona, pelo que é preciso reajustar a warfarina nessa fase. Esta associação é frequente em doentes com fibrilhação auricular e exige disciplina no controlo do INR e vigilância de hemorragia.","Amiodarone is a potent inhibitor of CYP2C9, the isoenzyme that metabolises S-warfarin (the more active enantiomer), and also inhibits CYP2C19 and CYP3A4. The result is a marked rise in the INR, which can start within the first days but continues to evolve for weeks because amiodarone has a very long half-life (20–100 days) and accumulates in tissues. The approved label recommends reducing the warfarin dose by 30–50% when amiodarone is started and monitoring the INR closely; the effect persists for weeks to months after amiodarone is stopped, so warfarin must be re-adjusted during that phase. This combination is common in atrial fibrillation patients and demands disciplined INR control and vigilance for bleeding.","Inibe o CYP2C9, principal enzima que metaboliza a Warfarina.","Inhibits CYP2C9, the main enzyme metabolising Warfarin.",Reduzir a dose de Warfarina em 25–50% e monitorizar o INR com maior frequência.,Reduce the Warfarin dose by 25–50% and monitor INR more frequently.,INR semanal nas primeiras semanas após iniciar a Amiodarona.,Weekly INR in the first weeks after starting Amiodarone.,"Sangramento anormal, equimoses espontâneas, hemorragia gengival.","Unusual bleeding, spontaneous bruising, gum bleeding.",DailyMed/FDA (NIH/NLM) — rótulo aprovado Amiodarona: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d ; rótulo aprovado Warfarina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=541c9a70-adaf-4ef3-94ba-ad4e70dfa057,DailyMed/FDA (NIH/NLM) — approved Amiodarone label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d ; approved Warfarin label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=541c9a70-adaf-4ef3-94ba-ad4e70dfa057,publicado,2026-03-15
amlodipina_captopril,amlodipina,captopril,none,Sem interação adversa clinicamente relevante. ACEi + bloqueador dos canais de cálcio é combinação de 1.ª linha em hipertensão; o efeito hipotensor aditivo é esperado e requer apenas monitorização da pressão arterial durante a titulação. Não é contraindicada.,No clinically relevant adverse interaction. An ACE inhibitor plus a calcium-channel blocker is a first-line antihypertensive combination; additive hypotension is expected and only requires BP monitoring during titration. Not contraindicated.,Sem interação adversa clinicamente relevante. Combinação de 1.ª linha em hipertensão; monitorizar a pressão arterial na titulação.,No clinically relevant adverse interaction. First-line antihypertensive combination; monitor blood pressure during titration.,"Um inibidor da enzima de conversão da angiotensina (captopril) associado a um bloqueador dos canais de cálcio (amlodipina) é uma combinação de primeira linha no tratamento da hipertensão, com efeitos anti-hipertensores complementares e sinérgicos. Não existe interação adversa clinicamente relevante; o único efeito esperado é o hipotensor aditivo, desejável na hipertensão não controlada, que requer apenas monitorização da pressão arterial durante a titulação. Em doentes idosos ou com hipotensão ortostática, iniciar com doses baixas e titular gradualmente.","An angiotensin-converting enzyme inhibitor (captopril) combined with a calcium-channel blocker (amlodipine) is a first-line combination in the treatment of hypertension, with complementary and synergistic antihypertensive effects. There is no clinically relevant adverse interaction; the only expected effect is additive hypotension, desirable in uncontrolled hypertension, which only requires blood pressure monitoring during titration. In elderly patients or those with orthostatic hypotension, start with low doses and titrate gradually.",,,Combinação habitual e recomendada. Iniciar com doses baixas e subir gradualmente; monitorizar a pressão arterial nas primeiras semanas.,Usual and recommended combination. Start at low doses and titrate gradually; monitor blood pressure in the early weeks.,,,,,DailyMed/FDA (NIH/NLM) — rótulo aprovado Captopril: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a43a5373-ded9-4912-8c98-edaec8352836 ; rótulo aprovado Amlodipina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=58a67272-c4c7-4e2c-85a5-9d39034d12c3,DailyMed/FDA (NIH/NLM) — approved Captopril label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a43a5373-ded9-4912-8c98-edaec8352836 ; approved Amlodipine label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=58a67272-c4c7-4e2c-85a5-9d39034d12c3,publicado,2026-08-02
amlodipina_cetoconazol,amlodipina,cetoconazol,moderate,"O Cetoconazol aumenta os níveis de Amlodipina (inibição do CYP3A4), com risco de hipotensão e edema.","Ketoconazole raises Amlodipine levels (CYP3A4 inhibition), with a risk of hypotension and oedema.",Amlodipina + cetoconazol: inibição do CYP3A4 com aumento dos níveis da amlodipina. Vigiar hipotensão e edema.,Amlodipine + ketoconazole: CYP3A4 inhibition raising amlodipine levels. Monitor hypotension and oedema.,"A amlodipina é substrato do CYP3A4, e o cetoconazol, ao inibir esta enzima, pode aumentar as suas concentrações e potenciar os efeitos vasodilatadores (hipotensão, edema periférico, rubor, cefaleia). Na maioria dos doentes a interação é gerida com monitorização da pressão arterial e dos sinais de edema; se surgirem sintomas, considerar reduzir a dose da amlodipina ou usar um anti-hipertensor menos dependente do CYP3A4 durante o antifúngico.","Amlodipine is a CYP3A4 substrate, and ketoconazole, by inhibiting this enzyme, can raise its concentrations and potentiate the vasodilator effects (hypotension, peripheral oedema, flushing, headache). In most patients the interaction is managed by monitoring blood pressure and signs of oedema; if symptoms arise, consider reducing the amlodipine dose or using an antihypertensive less dependent on CYP3A4 during the antifungal.","Inibição do CYP3A4 pelo cetoconazol, reduzindo o metabolismo de primeira passagem da amlodipina.",CYP3A4 inhibition by ketoconazole reduces first-pass amlodipine metabolism.,Vigiar pressão arterial e edema; considerar reduzir a dose de amlodipina se efeitos adversos.,Monitor blood pressure and oedema; consider reducing the amlodipine dose if adverse effects occur.,"Pressão arterial, edema periférico, cefaleia, rubor.","Blood pressure, peripheral oedema, headache, flushing.","Hipotensão sintomática, edema significativo.","Symptomatic hypotension, significant oedema.","DailyMed/FDA (NIH/NLM) — rótulo aprovado Cetoconazol: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f162e616-21b4-49b1-b437-15e21001a6f0 ; rótulo aprovado Amlodipina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=58a67272-c4c7-4e2c-85a5-9d39034d12c3 — com referência adicional: Prontuário Terapêutico do INFARMED (11.ª ed., 2012)","DailyMed/FDA (NIH/NLM) — approved Ketoconazole label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f162e616-21b4-49b1-b437-15e21001a6f0 ; approved Amlodipine label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=58a67272-c4c7-4e2c-85a5-9d39034d12c3 — with additional reference: Prontuário Terapêutico do INFARMED, INFARMED (11th ed., 2012)",publicado,2026-08-04
amlodipina_enalapril,amlodipina,enalapril,none,Sem interação adversa clinicamente relevante. ACEi + bloqueador dos canais de cálcio é combinação de 1.ª linha em hipertensão; o efeito hipotensor aditivo é esperado e requer apenas monitorização da pressão arterial durante a titulação. Não é contraindicada.,No clinically relevant adverse interaction. An ACE inhibitor plus a calcium-channel blocker is a first-line antihypertensive combination; additive hypotension is expected and only requires BP monitoring during titration. Not contraindicated.,Sem interação adversa clinicamente relevante. Combinação de 1.ª linha em hipertensão; monitorizar a pressão arterial na titulação.,No clinically relevant adverse interaction. First-line antihypertensive combination; monitor blood pressure during titration.,"O enalapril (IECA) e a amlodipina (bloqueador dos canais de cálcio) são frequentemente associados no tratamento da hipertensão e da doença coronária, com efeitos complementares: o IECA bloqueia o sistema renina-angiotensina e a amlodipina relaxa a musculatura vascular. Não há interação adversa relevante; o efeito hipotensor aditivo é o mecanismo terapêutico pretendido e exige apenas monitorização da pressão arterial, sobretudo no início e nos ajustes de dose. Em doentes com edema periférico induzido pela amlodipina, o IECA pode até atenuá-lo.","Enalapril (ACE inhibitor) and amlodipine (calcium-channel blocker) are frequently combined in the treatment of hypertension and coronary disease, with complementary effects: the ACE inhibitor blocks the renin-angiotensin system and amlodipine relaxes vascular smooth muscle. There is no relevant adverse interaction; the additive hypotensive effect is the intended therapeutic mechanism and only requires blood pressure monitoring, especially at start and at dose adjustments. In patients with amlodipine-induced peripheral oedema, the ACE inhibitor may even attenuate it.",,,Combinação habitual e recomendada. Iniciar com doses baixas e subir gradualmente; monitorizar a pressão arterial nas primeiras semanas.,Usual and recommended combination. Start at low doses and titrate gradually; monitor blood pressure in the early weeks.,,,,,DailyMed/FDA (NIH/NLM) — rótulo aprovado Enalapril: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b31372f7-cda3-4ead-a481-4cde62e843fd ; rótulo aprovado Amlodipina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=58a67272-c4c7-4e2c-85a5-9d39034d12c3,DailyMed/FDA (NIH/NLM) — approved Enalapril label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b31372f7-cda3-4ead-a481-4cde62e843fd ; approved Amlodipine label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=58a67272-c4c7-4e2c-85a5-9d39034d12c3,publicado,2026-08-02
